,Produto,Preço,Desconto,Categoria
0,"HD Externo Seagate, 2TB, USB 3.0, Preto - STGX2000400",569.99,-18%,Disco Rigido (HD)
1,"HD Externo Seagate, 1TB, USB 3.0, Preto - STGX1000400",364.99,-12%,Disco Rigido (HD)
2,"HD WD Red Plus, NAS, 4TB, 3.5', Cache 256MB, 5400RPM, SATA - WD40EFPX",779.99,-16%,Disco Rigido (HD)
3,"HD Seagate IronWolf, NAS, 8TB, 3.5', Cache 256MB, 7200RPM, SATA - ST8000VN004",1309.99,-5%,Disco Rigido (HD)
4,"HD Interno WD Blue, 1TB, SATA, 3.5' - WD10EZEX",349.99,-11%,Disco Rigido (HD)
5,"HD Externo Seagate, 4TB, USB 3.0, Preto - STGX4000400",900.00,-14%,Disco Rigido (HD)
6,"HD Externo Toshiba Canvio Ready, 2TB, USB 3.0, Preto - HDTP320XK3AA",464.99,-19%,Disco Rigido (HD)
7,"HD Interno WD Black, 6TB, SATA, 3.5' - WD6004FZWX",859.99,-12%,Disco Rigido (HD)
8,"Case F3 para HD SATA 2.5, USB 3.0, Transparente - CS-U3T",29.99,-10%,Disco Rigido (HD)
9,"HD Seagate IronWolf, NAS, 4TB, 3.5', Cache 256MB, 5400RPM, SATA - ST4000VN006",789.99,-15%,Disco Rigido (HD)
10,"HD Externo WD Elements, 5TB, USB 3.0, Preto - WDBU6Y0050BBK-WESN",999.99,-12%,Disco Rigido (HD)
11,"HD Externo WD Elements, 4TB, USB 3.0, Preto - WDBU6Y0040BBK",779.99,-12%,Disco Rigido (HD)
12,"HD Externo WD Elements, 2TB, USB 3.0, Preto - WDBU6Y0020BBK",509.99,-13%,Disco Rigido (HD)
13,"HD Surveillance WD Purple Pro, 10TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD101PURP",2019.99,-35%,Disco Rigido (HD)
14,"HD Externo WD Elements, 1TB, USB 3.0, Preto - STEA1000400",399.99,-3%,Disco Rigido (HD)
15,"HD Externo WD Elements, 6TB, USB, Preto - WDBHJS0060BBK-WESN",1149.99,-11%,Disco Rigido (HD)
16,"HD Interno Seagate BarraCuda, 2TB, SATA, 3.5' - ST2000DM008",474.99,-19%,Disco Rigido (HD)
17,"HD WD Red Plus, NAS, 6TB, 3.5', Cache 256MB, 5400RPM, SATA - WD60EFPX",969.99,-13%,Disco Rigido (HD)
18,"Case F3 Caddy para Notebook, 2.5', SATA - 1167",12.99,-13%,Disco Rigido (HD)
19,"HD Toshiba Surveillance S300, 4TB, 5400 RPM, SATA - HDWT840UZSVA",579.99,-13%,Disco Rigido (HD)
20,"HD Externo Seagate Expansion, 8TB, USB 3.0 - STKP8000400",1313.54,-10%,Disco Rigido (HD)
21,"HD Externo WD My Passport, 4TB, USB 3.0, Preto - WDBPKJ0040BBK-WESN",1022.07,-19%,Disco Rigido (HD)
22,"HD Interno WD Purple, 3TB, SATA, 3.5'- WD33PURZ",649.99,-12%,Disco Rigido (HD)
23,"Case para HD Externo F3, 2.5´, USB 2.0, Preto - CS-U2",19.99,-6%,Disco Rigido (HD)
24,"HD Interno WD Purple Pro Smart, 8TB, SATA, 3.5' - WD8002PURP",1789.99,-10%,Disco Rigido (HD)
25,"HD Externo Seagate Expansion, 500GB, USB 3.0",220.00,-14%,Disco Rigido (HD)
26,"HD Surveillance WD Purple, 1TB, 5400RPM, Cache 64MB, 3.5', SATA - WD11PURZ",364.99,-15%,Disco Rigido (HD)
27,"HD Seagate 2TB Barracuda, 3.5, SATA - ST2000DM008",504.90,,Disco Rigido (HD)
28,"HD WD Red Pro, NAS, 14TB, 3.5', Cache 512MB, 7200RPM, SATA - WD142KFGX",2524.99,,Disco Rigido (HD)
29,"HD Externo Portátil Seagate, 5TB, USB 3.0, Preto - STGX5000400",1004.99,,Disco Rigido (HD)
30,"HD Externo Toshiba Canvio Ready, 1TB, USB 3.0, Preto - HDTP310XK3AA",364.99,,Disco Rigido (HD)
31,"HD Externo WD My Passport, 1TB, USB 3.0, Preto - WDBYVG0010BBK-WESN",379.99,,Disco Rigido (HD)
32,Hd Seagate Skyhawk 20tb Sata De 6 Gb/s 512mb - St20000ve003,2659.15,,Disco Rigido (HD)
33,"HD Externo WD Elements Desktop, 12TB, USB 3.0, Preto - WDBWLG0120HBK-NESN",1949.99,,Disco Rigido (HD)
34,"HD Surveillance WD Purple, 8TB, 5640RPM, Cache 256MB, 3.5', SATA - WD85PURZ",1619.99,,Disco Rigido (HD)
35,"HD Interno WD Gold Enterprise Class, 6TB, SATA, 3.5' - WD6003FRYZ",1574.99,,Disco Rigido (HD)
36,"HD Interno WD Gold Enterprise Class, 10TB, SATA, 3.5' - WD102KRYZ",2174.99,,Disco Rigido (HD)
37,"HD Externo LaCie Rugged Mini, 2TB, USB, Laranja - LAC9000298",809.99,,Disco Rigido (HD)
38,"Case USB 3.0 para HD SATA 2.5"" Externo Transparente Infokit Gaveta para HD Ecase-300",30.14,,Disco Rigido (HD)
39,"HD Externo WD Elements Desktop Hard Drive, 16TB, USB 3.0, Preto - WDBWLG0160HBK-NESN",2429.99,,Disco Rigido (HD)
