,Produto,Preço,Desconto,Categoria
0,Gravador Dvd Externo Dell Slim - Portátil - Usb - Preto - Dw316,229.00,,Drivers
1,Gravador Dvd-rw Sata Asus 24x Drw-24f1mt/blk/b/as,47.99,,Drivers
2,"Leitor De Cd E Dvd, Super Multi",18.00,,Drivers
3,"Driver Interno PC 3.5 CD/DVD, Kp-le301 - Knup",95.93,,Drivers
4,Gravador E Leitor De Dvd E Cd Externo Slim Usb Para Notebook Ou Cpu,139.99,,Drivers
5,Leitor E Gravador De Cd Dvd Externo Para PC E Notebook Usb 3.0 Drive Portátil Slim Preto Usb C Mac Ultrabook WINDOWS,199.99,,Drivers
6,Leitor Gravador De Cd/dvd Externo Portátil Slim Usb Gt,149.90,,Drivers
7,Case Para Gravador De Dvd Usb 12.7mm Externo Gv-u2,54.00,,Drivers
8,"Leitor De Cartão SD Otg Cabletime, USB-C A 3.0",145.27,,Drivers
9,"Drive Oem, Leitor E Gravador Dvd, Desktop Sata, Preto",162.00,,Drivers
10,Leitor De Cartão Rfid Intelbras Le130,192.36,,Drivers
11,"Gravador DVD Dex DG-200 SATA, 5.25""",92.66,,Drivers
12,"Drive Externo 6 Em 1 Playshop, Hub Leitor E Gravador De Cd, Dvd, 2 Porta Usb 3.0 e Tipo C, 1 Slot Adaptador Cartão Micro Sd",225.00,,Drivers
13,"Drive Knup Gravador Externo, CD e DVD, Compatível com Notebook e Desktop - Kp-le303",130.80,,Drivers
14,"Gravador de CD e DVD Dex Slim, Externo, Plug & Play - Dg-320c",210.00,,Drivers
15,Cd-Rom Drive Samsung SH-C522,74.35,,Drivers
16,Gravador De Voz Digital 32GB,164.89,,Drivers
17,"HP Enterprise LTO-7 Ultrium, 15TB, RW Data Cartridge - C7977A",597.87,,Drivers
18,"Gravador Portátil Zoom, Podtrak P8 Podcast Multitrack",4891.45,,Drivers
19,Gravador Dvd Usb Externo Leitor Notebook Pc 3.0 Slim Portátil - Gv02,149.90,,Drivers
20,"Leitor De Cartão Interno Para Gabinete Gv Brasil, Usb 2.0, Multifuncional - Acr.316",19.58,,Drivers
21,"Gravador DVD Externo Bluecase Slim, Portátil, USB 2.0 - Bgde-01sbx",129.00,,Drivers
22,"HP Enterprise LTO-6 Ultrium, 6.25TB, MP RW D ATA Tape - C7976A",431.38,,Drivers
23,"Gravador Drive DVD SATS 18 X Knup, 3.5 Polegadas - Kp-Le301 - Oem",152.09,,Drivers
24,"Fita Sony LTO6, 2500/6250GB - LTX2500",319.84,,Drivers
25,Tartarugas Ninja 2 Michelangelo Funko Pop,149.90,,Drivers
26,Star Wars The Mandalorian With The Child Television Moments Funko Pop,419.90,,Drivers
27,Cabo Usb Tipo C Baseus I6s Preto 1m,48.44,,Drivers
28,Gravador De Dvd Faster Bl-0224 Bluecase,66.68,,Drivers
29,Cabo Usb Topk An24 Azul 1m,343.75,,Drivers
30,Cabo Usb Para Carregar Tipo C Baseus 100 W Vermelho Preto 5 Unidades 1m,478.13,,Drivers
31,Cabo Usb Para Carregar Tipo C Baseus 100 W Preto 5 Unidades 1m,478.13,,Drivers
32,Cabo Usb Magnético Tipo C Topk Am68 Preto 1m Para Micro Usb,296.88,,Drivers
33,Cabo Usb Para Carregar Tipo C Baseus 100 W Preto 10 Unid. 1m,856.25,,Drivers
34,Cabos Para Carregamento Iphone Tipo C Topk A1 Micro Cabo 1m 1 Pcs,312.50,,Drivers
35,Cabo Usb Tipo C Baseus 5n 100w Preto 1m,56.25,,Drivers
36,Gravador Externo - Dvd - Cd - Usb 2.0 Slim Portatil,115.00,,Drivers
37,Gravador Ativado Por Voz 8GB Savetek,180.41,,Drivers
38,The Mandalorian The Child W/ Egg Canister Baby Yoda - Funko Pop,539.90,,Drivers
39,Cabo Micro Usb 1mt Nylon Trançado Rainbow M510rb Elg,13.00,,Drivers
