,Produto,Preço,Desconto,Categoria
0,"Kit Upgrade, Placa Mãe H81 + Processador I5 4570 + Memoria 8GB, DDR3 + Cooler",469.99,,Kit_Hardware
1,"Kit Powerpc, Placa Mãe H81 + Processador I5 4570 + 16GB RAM, DDR3 + Cooler",529.00,,Kit_Hardware
2,"Kit Upgrade AMD Ryzen 5 5600G, Placa Mae A520M-E, 16GB DDR4, Neologic - Nli84110",1851.99,,Kit_Hardware
3,"Kit Upgrade AMD Ryzen 5 4600G, Placa Mae A520M, 16GB DDR4, Neologic - Nli84045",1513.77,,Kit_Hardware
4,"Kit Upgrade AMD Ryzen 5 5600G, Placa Mae A520M-E, Neologic - Nli84111",1528.70,,Kit_Hardware
5,"Kit Upgrade AMD Ryzen 5 4500, Placa Mae A520M, 16GB DDR4, Neologic - Nli84048",1458.10,,Kit_Hardware
6,"Kit Pl Mãe H110 + Processador I5 6500 + Memoria 8GB, D4 + Cooler",789.99,,Kit_Hardware
7,Kit Upgrade Powerpc Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler,755.00,,Kit_Hardware
8,Placa De Video Pcyes Nvidia Geforce Gtx 1660 Super 6GB GDDR6 192bits Dual-fan Graffiti Series - Pa1660s6gr6df,1270.63,,Kit_Hardware
9,Kit Upgrade com Placa Mãe H61 + Processador I3 2100 + Memoria 8 GB DDR3 + Cooler Rede 10 100,295.50,,Kit_Hardware
10,Kit Upgrade Intel I7-6700 + Ddr4 16gb + Nvme 512gb + Mb H110,1750.00,,Kit_Hardware
11,Kit Pl Mãe H110 + Processador I3 6100 + Memoria 8 Gb Ddr4 + Cooler,679.90,,Kit_Hardware
12,"Kit Upgrade, Placa Mãe H61 + Processador I5 3470 + Memoria 16Gb Ddr3 + Cooler",424.60,,Kit_Hardware
13,Kit Placa Mãe H81 + Processador I7 4770 + Cooler,635.00,,Kit_Hardware
14,Kit Powerpc Placa-Mãe H110 + Processador I3 7100 + Memória 8GB DDR4 + Cooler,690.91,,Kit_Hardware
15,Kit Upgrade Gamer Amd Ryzen 5 5600g Mb A520 16gb Ddr4,1717.80,,Kit_Hardware
16,Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 2100 + Memória 4 GB DDR3 + Cooler - OEM,275.50,,Kit_Hardware
17,Kit Pl Mãe H81 + Processador I5 4570 + Memoria 16 Gb Ddr3,487.90,,Kit_Hardware
18,"Kit Placa Mãe H61 + Processador I5 3470 + Memoria RAM 8GB, DDR3 + Cooler",395.90,,Kit_Hardware
19,Kit Placa-Mãe H61 + Processador I5 3470 + Memória 8GB + Cooler + SSD 256GB M2,539.99,,Kit_Hardware
20,Kit Upgrade com Placa Mãe H310 + Processador I5 8500 + Memória 16GB DDR4 + Cooler + SSD M.2 512GB,1499.83,,Kit_Hardware
21,"Kit Upgrade Intel I7-6700, Ddr4 16gb, Placa Mãe H110 Gigalan",1416.00,,Kit_Hardware
22,Kit Powerpc Placa-Mãe H110 + Processador I5 7400 + Memória 8GB DDR4 + Cooler + M.2 256GB,1000.80,,Kit_Hardware
23,Kit Upgrade Intel I5-3470 + Ddr3 16gb + Placa Mãe H61/ B75,583.00,,Kit_Hardware
24,Kit Placa-Mãe H81 + Processador I5 4570 + Memória 8GB DDR3 + Cooler + SSD 240GB M2,636.25,,Kit_Hardware
25,Kit Upgrade - Placa-Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 256GB,899.00,,Kit_Hardware
26,"Kit Upgrade, Placa Asus Proc. I5 11400f, 32GB DDR4 3200mhz",2099.00,,Kit_Hardware
27,"Kit Upgrade, Placa Mãe H61 + Processador I3 3220 + Memoria 4 Gb Ddr3 + Cooler",298.02,,Kit_Hardware
28,Kit Upgrade Placa Mãe H61+ Processador I3 2100 + Memoria 4 GB DDR3 + Cooler Rede 10 100,275.50,,Kit_Hardware
29,Kit Placa Mãe H81 + Processador I3 4130,288.24,,Kit_Hardware
30,Kit Pl Mãe H110 + Proc. I7 8700 + Mem. 32gb Ddr4 + Cooler,1799.99,,Kit_Hardware
31,Kit Placa Mãe H81 + Processador I5 4570s + Memoria 8GB DDR3 + Cooler,474.01,,Kit_Hardware
32,Kit Upgrade Processador Intel® Core™ I5 10400f + Placa Mãe Asrock H510-hdv M.2,1509.19,,Kit_Hardware
33,"Kit Upgrade Kaikora Gamer, Intel I5 OEM 6ª Geração H110 + Memória 8GB DDR4",1100.00,,Kit_Hardware
34,Kit Upgrade Powerpc: Placa Mãe H310 + Processador I5 8500 + Memória 8GB DDR4 + Cooler,1059.00,,Kit_Hardware
35,"Kit Pl Mãe H81-10/100 + Processador I5 4570 + Memoria 4 GB, DDR3 + Cooler",454.01,,Kit_Hardware
36,Kit Pl Mãe H61 + Proc I7 3770s + Memoria 16 Gb Ddr3 + Cooler+ SSD 480,869.99,,Kit_Hardware
37,Kit Upgrade PowerPC com Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD M.2 512GB,1052.68,,Kit_Hardware
38,Kit Pl Mãe H61 + Processador I3 2100 + Mem 4 Gb Ddr3 + Cooler + Fonte,693.65,,Kit_Hardware
39,"Kit Pl H110 + Proc I5 6500 + Mem 8 GB,DDR4 + Cooler + SSD 240",939.99,,Kit_Hardware
