,Produto,Preço,Desconto,Categoria
0,"Memória RAM Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8",169.99,-15%,Memoria_Ram
1,"Memória RAM Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16",273.99,-13%,Memoria_Ram
2,"Memória RAM XPG Gammix D35, 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SBKD35",164.99,-12%,Memoria_Ram
3,"Memória RAM Rise Mode, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600V",74.99,-45%,Memoria_Ram
4,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35G",259.99,-19%,Memoria_Ram
5,"Memória Gamer Husky Gaming Avalanche, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF008",249.99,-53%,Memoria_Ram
6,"Memória RAM XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G",269.99,-10%,Memoria_Ram
7,"Memória RAM para Notebook Rise Mode Value Series, 8GB, 1600MHz, DDR3L, CL11 - RM-D3-8G1600NL",54.99,-16%,Memoria_Ram
8,"Memória RAM para Notebook Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20 - KF432S20IB/16",248.99,-14%,Memoria_Ram
9,"Memória RAM Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB12A/16",349.99,-11%,Memoria_Ram
10,"Memória RAM Rise Mode Z, 16GB, 3200MHz, DDR4, CL16, Preto - RM-D4-16G-3200Z",243.00,-8%,Memoria_Ram
11,"Memória RAM Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL",59.99,-8%,Memoria_Ram
12,"Memória RAM Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Branco - RM-D4-8G-3200ZW",129.99,-15%,Memoria_Ram
13,"Memória RAM XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35",299.99,-42%,Memoria_Ram
14,"Memória RAM Para Notebook Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20 - KF432S20IB/8",139.99,-1%,Memoria_Ram
15,"Memória RAM XPG Lancer, RGB, 32GB (2x16GB), 6000MHz, DDR5, CL30, Preto - AX5U6000C3016G-DCLARBK",999.99,-11%,Memoria_Ram
16,"Memória Husky Gaming, 8GB, 2666MHz, DDR4, CL19, Preto - HGMF001",119.99,-8%,Memoria_Ram
17,"Memória RAM para Notebook Rise Mode, 8GB, 2400MHz, DDR4, CL17 - RM-D4-8G-2400VN",119.99,-30%,Memoria_Ram
18,"Memória Para Notebook Husky Technologies, 8GB, 3200MHz, DDR4, CL19 - HTCQ002",129.99,-10%,Memoria_Ram
19,"Memória RAM Kingston Fury Beast, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - KF432C16BBK2/16",299.99,,Memoria_Ram
20,"Memoria RAM Para Notebook Rise Mode Value, 16GB, 3200MHZ, DDR4, CL22 - RM-D4-16G-3200VN",279.99,,Memoria_Ram
21,"Memória RAM 8GB KBM! Gaming, Preto, 3200 MHz, DDR4, CL22 - KGRM32000822PT",139.99,,Memoria_Ram
22,"Memória Gamer Husky Gaming, 16GB, 2666MHz, DDR4, CL19, Preto - HGMF002",209.99,,Memoria_Ram
23,"Memória RAM 8GB KBM! Gaming, 2666 MHz, DDR4, Cl19 - KGRM26000819PT",114.99,,Memoria_Ram
24,"Memória RAM Corsair Vengeance LPX, 8GB, 2400MHz, DDR4, CL16, Preto - CMK8GX4M1A2400C16",154.99,,Memoria_Ram
25,"Memória RAM Corsair Vengeance LPX, 16GB, 3200MHz, DDR4, CL16, Preto - CMK16GX4M1E3200C16",219.99,,Memoria_Ram
26,"Memória RAM para Notebook Husky Technologies, 8GB, 2666MHz, DDR4, CL19 - HTCQ001",106.99,,Memoria_Ram
27,"Memória RAM para Notebook KABUM! TECH, 8GB, 2666MHz, DDR4, CL19 - KTRMN260008PT",129.99,,Memoria_Ram
28,"Memória RAM Corsair Vengeance LPX, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - CMK32GX4M2D3600C18",599.99,,Memoria_Ram
29,"Memória RAM Corsair Vengeance RGB, 32GB (2x16GB), 5200MHz, DDR5, CL40, Preto - CMH32GX5M2B5200C40",829.99,,Memoria_Ram
30,"Memória RAM Rise Mode, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600V",39.99,,Memoria_Ram
31,"Memória RAM Rise Mode Z, 16GB, 3200MHz, DDR4, CL16, Branco - RM-D4-16G-3200ZW",239.99,,Memoria_Ram
32,"Memória Para Notebook Husky Technologies, 16GB, 3200MHz, DDR4, CL19 - HTCQ004",189.99,,Memoria_Ram
33,"Memória RAM para Notebook Rise Mode Value Series, 4GB, 1600MHz, DDR3L, CL11 - RM-D3-4G1600NL",69.99,,Memoria_Ram
34,"Memória RAM para Notebook Corsair Vengeance Series, 16GB, 3200MHz, DDR4, CL22, Preto - CMSX16GX4M1A3200C22",319.99,,Memoria_Ram
35,"Memória RAM Corsair Vengeance RGB RS, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMG32GX4M2E3200C16",619.99,,Memoria_Ram
36,"Memória RAM Corsair Vengeance LPX, 16GB, 2400MHz, DDR4, CL16, Preto - CMK16GX4M1A2400C16",262.99,,Memoria_Ram
37,"Memória RAM Corsair Vengeance RGB, 32GB (2x16GB), 6200MHz, DDR5, CL36, Preto - CMH32GX5M2B6200C36",1134.99,,Memoria_Ram
38,"Memória RAM Corsair Vengeance LPX, 8GB, 3200MHz, DDR4, CL16, Preta - CMK8GX4M1E3200C16",139.99,,Memoria_Ram
39,"Memória RAM para Notebook Corsair Vengeance, 16GB, 2666MHz, DDR4, CL18, Preto - CMSX16GX4M1A2666C18",249.99,,Memoria_Ram
