,Produto,Preço,Desconto,Categoria
0,"Placa Pci Express 4.0 4x, Para HD, SSD Nvme M.2 F3 Pla-nm - 1506",31.14,,Placas_Interfaces
1,Placa USB 3.0 PCI Express 1x PC Computador 4 Portas Saidas,62.29,,Placas_Interfaces
2,Placa Pci Usb 2.0 Hb-T74 Knup,83.90,,Placas_Interfaces
3,"Placa Pci F3 Express X1, 2 Seriais, 1 Paralela, Low Profile - Jc-Pci-Prs",79.88,,Placas_Interfaces
4,"Placa De Som PCI com 5 Canais DP-61, PC0046DEX",86.41,,Placas_Interfaces
5,Placa Usb 3.0 Interna Com 4 Portas Pci-express 5 Gbps,95.80,,Placas_Interfaces
6,"Placa De Som Externa USB, Som Virtual 7.1, Microfone - AD0021",43.11,,Placas_Interfaces
7,"Placa USB 3.0 Pci Express X1, 2 Portas Com Low Profile Perfil Baixo Feasso - Jpu-03",149.00,,Placas_Interfaces
8,"Placa De Som Gamer Creative, Pci-e Express High-Performance Sound Blaster Z Se - 70sb150000004",1519.76,,Placas_Interfaces
9,Placa Com Usb 3.0 E 4 Portas Até 5gbps Pci-express 1x Pci-e Knup - Kp-t102,104.42,,Placas_Interfaces
10,"Placa Expansão Pci, Express Pcie X1 X4 X8 X16, P/ USB, Tipo C, 3.0, 2 Portas, Adaptador Hub, Controlador",199.90,,Placas_Interfaces
11,Placa Controladora Comtac Pci Com 1 Porta Paralela 9016,36.50,,Placas_Interfaces
12,Placa De Som - 5.1 Canais - Pci-e,195.01,,Placas_Interfaces
13,"Placa De Som, Creative Sound, Blaster Play 4 Externo",313.50,,Placas_Interfaces
14,Placa De Interface De Audio Mxt Multifuncional Com Efeitos Para Live Streaming Mx-v8 - 054.0001.00137,143.91,,Placas_Interfaces
15,Placa PCi-e Nvme Ad135 Knup,38.92,,Placas_Interfaces
16,Placa Pci Com 5 Portas Usb 2.0 480 Mbps Dp-52,50.15,,Placas_Interfaces
17,Placa De Som Pci-E - Sound Blaster X Ae-5 Plus- Rgb - 70Sb174000003,1597.39,,Placas_Interfaces
18,Placa Pci Express 2 Portas Seriais Comtac 9049,165.00,,Placas_Interfaces
19,"Placa De Som, Sound Blaster X G6, 7.1 Para Ps4, Xbox One, Nintendo Switch E Pc - 70sb177000000",2613.52,,Placas_Interfaces
20,"Placa De Som PCI, 5.1 Canais - 32 Bits",175.41,,Placas_Interfaces
21,"Placa de Som DEX X1, PCIe, Usb 3.0 5gbps Com 4 Portas.",75.53,,Placas_Interfaces
22,"Servidor Lenovo St50 V2 Xeon E-2324g, 16GB, hdtb",7657.08,,Placas_Interfaces
23,Placa De Som Creative Sound Blaster Audigy - Fx Pci-e 5853,589.99,,Placas_Interfaces
24,Placa Controladora Akasa Vegas Para Fitas Led - Até 8 Dispositivos Rgb - Ak-rld-03,165.61,,Placas_Interfaces
25,Placa USB 3.0 5gbps Pci-e X1 Com 2 Portas + Perfil Baixo Comm5 - 2usb-pci-e,57.61,,Placas_Interfaces
26,Placa Pci Express 4 Portas Usb 3.0 Comtac 9349,122.42,,Placas_Interfaces
27,"Placa De Som Asus Xonar Se, 5.1 - Pci-e - 90ya00t0-m0ua00",465.08,,Placas_Interfaces
28,Placa Controladora Pci-e X1 Usb 3.0 (5gbps) Com 4 Portas Usb,95.96,,Placas_Interfaces
29,"Placa PCI Express, Com 2 Portas USB 3.0, Akasa, AK-PCCU3-01",152.87,,Placas_Interfaces
30,Placa Pci 2 Portas Seriais Comtac 9015,42.00,,Placas_Interfaces
31,"Placa Controladora PCi, Legacy,gv Brazil, 2 Seriais, - PCi.18401",51.68,,Placas_Interfaces
32,Adaptador Porta Serial Hp 611901-001 Perfil Baixo (15 Pinos),28.90,,Placas_Interfaces
33,Kit Placa DVR Seykon Pci Sk-9808 8 Canais Real Time,311.78,,Placas_Interfaces
34,Placa Raspberry 8GB 64bit 5.0v Usb-c Pi4 Model B Raspberry,921.81,,Placas_Interfaces
35,Placa Comando Impacta 140/220 4990108 Intelbras,78.09,,Placas_Interfaces
36,Placa 16 Ramais Digitais 141 051 Intelbras,11.48,,Placas_Interfaces
37,"Placa PCi-e Controladora Gv Brasil, 2 Seriais + 1 Paralela - PCi.567",93.16,,Placas_Interfaces
38,Placa De Expansão Usb 3.1 Tipo-c 5gbps Com 4 Portas,249.90,,Placas_Interfaces
39,"Placa Central Ppa de Comando Agility Legero, Bivolt 50hz, 60hz - A22518",174.94,,Placas_Interfaces
