,Produto,Preço,Desconto,Categoria
0,"Placa Mãe Asus TUF GAMING A520M-PLUS II, AMD AM4, mATX, DDR4",519.99,-13%,Placas_mae
1,"Placa Mãe MSI A520M-A PRO, AMD AM4, mATX, DDR4",394.99,-9%,Placas_mae
2,"Placa-Mãe MSI MPG B550 Gaming Plus, AMD AM4, ATX",999.99,-7%,Placas_mae
3,"Placa Mãe Gigabyte B550M Aorus Elite (rev. 1.3), AMD AM4, Micro ATX, DDR4 - B550M AORUS ELITE",849.99,-14%,Placas_mae
4,"Placa Mãe Gigabyte H610M (rev. 1.0), Intel LGA1700, H610, DDR4, mATX - H610M H DDR4",529.99,-13%,Placas_mae
5,"Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4",769.99,-7%,Placas_mae
6,"Placa Mãe Asus TUF Gaming B550M-Plus, AMD AM4, mATX, DDR4",1064.98,-19%,Placas_mae
7,"Placa-Mãe MSI B550M Pro-VDH WiFi, AMD AM4, mATX",859.99,-5%,Placas_mae
8,"Placa Mãe Asus Prime H610M-A D4, LGA 1700 H610, mATX, DDR4",629.99,-19%,Placas_mae
9,"Placa Mãe MSI B650M Gaming Plus, AMD AM5, M-ATX, DDR5, Wi-Fi - B650M GAMING PLUS WIFI",1299.99,-11%,Placas_mae
10,"Placa-Mãe Asus TUF Gaming B550M-PLUS, AMD AM4, mATX , DDR4, M.2, Aura para fita RGB - 90MB14A0-C1BAY0",849.90,-14%,Placas_mae
11,"Placa Mãe Gigabyte B650M Gaming (Rev.1.0), AMD AM5, mATX, DDR5, RGB, WiFi - B650M GAMING WIFI",919.99,-15%,Placas_mae
12,"Placa Mãe Asus TUF Gaming B650M-E, WIFI, AMD AM5, B650, DDR5 - 90MB1FV0-M0EAY0",1249.99,-10%,Placas_mae
13,"Placa Mãe Asus Prime A520M-E, AMD AM4, mATX, DDR4",488.90,-2%,Placas_mae
14,"Placa Mãe MSI Pro B650M-P, AMD AM5, M-ATX, DDR5 - PRO B650M-P",844.99,-17%,Placas_mae
15,"Placa-Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4",819.90,-5%,Placas_mae
16,"Placa Mãe ASUS Prime H510M-A R2.0, Intel, ATX, DDR4, LGA 1200, H470 - 90MB1FP0-M0EAY0",559.99,-6%,Placas_mae
17,"Placa Mãe MSI B450M-A Pro Max, AMD AM4, Micro-ATX, DDR4",559.99,-2%,Placas_mae
18,"Placa Mãe MSI Pro H610M-E DDR4, Intel LGA 1700, M-ATX, DDR4 - PRO H610M-E DDR4",549.99,-24%,Placas_mae
19,"Placa Mãe ASUS TUF GAMING B760M-PLUS WIFI II, Intel, DDR5 - 90MB1HE0-M0EAY0",1319.99,-11%,Placas_mae
20,"Placa Mãe Asus Prime H510M-A, Intel Socket LGA1200, microATX, DDR4",559.99,-20%,Placas_mae
21,"Placa Mãe Asus ROG Strix B550-F Gaming II, AMD AM4, ATX, DDR4, Wi-Fi, Aura Sync RGB",1494.99,-5%,Placas_mae
22,"Placa Mãe Asus TUF GAMING A520M-PLUS WIFI, AMD AM4, mATX, DDR4, RGB - 90MB17F0-M0EAY0",689.99,,Placas_mae
23,"Placa Mãe Msi B450m Pro-Vdh Max, AMD AM4, Matx, DDR4, Chipset B450 - 911-7a38-063",526.41,,Placas_mae
24,"Placa Mãe MSI PRO H510M-B, Intel, M-ATX, DDR4 - PRO H510M-B",484.99,,Placas_mae
25,"Placa Mãe Asus TUF GAMING A620M-PLUS, AMD AM5, mATX, DDR5 - 90MB1EZ0-M0EAY0",854.99,,Placas_mae
26,"Placa Mãe MSI Pro B760-P DDR4 II, Intel LGA 1700, ATX, DDR4 - PRO B760-P DDR4 II",939.99,,Placas_mae
27,"Placa Mãe Gigabyte B760M AORUS ELITE (rev. 1.0), LGA 1700, DDR5",1319.99,,Placas_mae
28,"Placa-Mãe MSI B450M Pro-VDH Max p/ AMD AM4, m-ATX, DDR4",599.99,,Placas_mae
29,"Placa Mãe Asus Prime B550M-A, AMD AM4, mATX, DDR4",739.99,,Placas_mae
30,"Placa Mãe Gigabyte A520M DS3H V2, AMD, Micro ATX, DDR4 - A520M DS3H V2",433.49,,Placas_mae
31,"Placa Mãe Asus Prime H610M-E D4, Intel LGA 1700, mATX, DDR4",584.99,,Placas_mae
32,"Placa-Mãe Gigabyte H510M H V2, Intel LGA 1200, 10ª E 11ª Geração, mATX, DDR4 - H510M H V2",549.99,,Placas_mae
33,"Placa Mãe Asus TUF GAMING A620M-PLUS WIFI, AMD AM5, mATX, DDR5, Wi-Fi, Bluetooth - 90MB1F00-M0EAY0",1049.99,,Placas_mae
34,"Placa Mãe MSI PRO B760M-A, Intel, M-ATX, DDR5, Wi-Fi - PRO B760M-A WIFI",999.99,,Placas_mae
35,"Placa Mãe ASRock B650M PG Riptide, AMD, Micro ATX, DDR5 - 90-MXBJ9*",1159.99,,Placas_mae
36,"Placa-Mãe Asus TUF Gaming B450M-Plus II, AMD AM4, mATX, DDR4",709.99,,Placas_mae
37,"Placa Mãe ASUS TUF Gaming B760M-E D4, Intel, M-ATX, DDR4 - 90MB1E90-M0EAY0",1059.99,,Placas_mae
38,"Placa Mãe Asus TUF Gaming X670E-Plus Wi-Fi, AMD X670, AM5, DDR5 - 90MB1BK0-M0EAY0",2239.99,,Placas_mae
39,"Placa Mãe MSI Pro A620M-E, AMD AM5, M-ATX, DDR5 - PRO A620M-E",639.99,,Placas_mae
