,Produto,Preço,Desconto,Categoria
0,"SSD 1 TB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/1000G",369.99,-13%,SSD
1,"SSD SATA WD Green, 480GB, 2.5"", Leitura: 545MB/s e Gravação: 430MB/s, Preto - WDS480G3G0A",259.99,-20%,SSD
2,"SSD Kingston Fury Renegade, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 7300 MB/s, Gravação: 6000 MB/s, Compatível com PS5 - SFYRS/1000G",799.99,-16%,SSD
3,"SSD Kingston A400, 480 GB, SATA III, 2.5"", Leitura: 500 MB/s, Gravação: 450 MB/s, Preto - SA400S37/480G",199.99,-9%,SSD
4,"SSD Kingston A400, 960 GB, SATA III, 2.5"", Leitura: 500 MB/s, Gravação: 450 MB/s, Preto - SA400S37/960G",349.99,-10%,SSD
5,"SSD Kingston NV2, 500 GB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 3500 MB/s, Gravação: 2100 MB/s, Azul - SNV2S/500G",289.99,-27%,SSD
6,"SSD Kingston A400, 240 GB, SATA III, 2.5"", Leitura: 500 MB/s, Gravação: 350 MB/s, Preto - SA400S37/240G",178.99,-7%,SSD
7,"SSD 1TB Kingston Nv2, M.2 2280 PCIe, NVMe, Leitura 3500MB/s, Gravação 2100MB/s - Snv2s/1000g",394.19,-26%,SSD
8,"SSD SATA Rise Mode Line, 120GB, 2.5"", Leitura 535MB/s, Gravação 435MB/s, Preto - RM-SSD-120",79.99,-13%,SSD
9,"SSD Kingston NV3, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 6000 MB/s, Gravação: 4000 MB/s, Azul - SNV3S/1000G",509.99,-20%,SSD
10,"SSD SATA Adata SU650, 240GB, 2.5"", Leitura: 520MB/s e Gravação: 450MB/s, Preto - ASU650SS-240GT-R",138.99,-22%,SSD
11,"SSD 256GB KBM! Gaming, SATA III, leitura 500mbs/ Gravacao 450mbs - KGSSD110256",129.99,-4%,SSD
12,"SSD Kingston NV2, 2 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 3500 MB/s, Gravação: 2800 MB/s, Azul - SNV2S/2000G",949.99,-28%,SSD
13,"SSD Adata Legend 710, 512GB, M.2 2280 PCIe GEN3x4, NVMe 1.4, Leitura: 2.400 MB/s e Gravação: 1.800 MB/s, Azul - ALEG-710-512GCS",279.99,-11%,SSD
14,"SSD Kingston KC3000, 1 TB, M.2 2280, PCIe 4.0 x4, NVMe, Leitura: 7000 MB/s, Gravação: 6000 MB/s, Preto - SKC3000S/1024G",549.99,-9%,SSD
15,"SSD 128GB KBM! Gaming, SATA III, leitura 500mbs/ Gravacao 450mbs - KGSSD110128",69.99,-11%,SSD
16,"SSD 1TB SanDisk Plus NVMe, M.2, PCle, Gen3, Leitura 3.200 e Gravação acima de 3.200 - SDSSDA3N-1T00-G26",479.99,-8%,SSD
17,"Kingston Adaptador de SSD 2,5, para Baia 3,5 - SNA-BR2/35",19.99,-12%,SSD
18,"SSD SATA WD Green, 1TB, 2.5"", Leitura: 545MB/s e Gravação: 550MB/s, Preto - WDS100T3G0A",358.99,-12%,SSD
19,"SSD Rise Mode Gamer Z Series 128GB, Sata, Leitura: 535MB/s e Gravação: 435MB/s - RM-SSD-128",99.99,-19%,SSD
