,Produto,Preço
0,"Monitor Portátil Acer 15.6 Full HD, 60Hz, IPS, HDMI e USB, Som integrado, Preto - PM161Q",4399.99
1,"Notebook Samsung Galaxy Book3 360, Intel Core I5-1335U, 8GB RAM, SSD 256GB, 13.3 Full HD, Windows 11 Home, Grafite - NP730QFG-KF2BR",664.00
2,"Notebook Gamer Lenovo Legion Slim 5i Intel Core I5-13420H, 16GB RAM, GeForce RTX3050, SSD 512GB, 16"" 2K QHD, Win 11, Cinza - 83D60003BR",10299.99
3,"Monitor Gamer Gigabyte 31"", 170Hz, QHD, 1ms, DisplayPort e HDMI, 109% sRGB, HDR, Adaptive-Sync - GS32QC SA",2629.00
4,"iMac Apple Tela Retina 24"" 4.5K, Chip M3, CPU 8 Núcleos GPU 8 Núcleos, SSD 256GB, Azul - MQRC3BZ/A",9999.00
5,"MacBook Pro Apple 14"", M3 Pro, CPU 12 Núcleos, GPU 18 Núcleos, 18GB RAM, SSD 1TB, Preto Espacial - MRX43BZ/A",3823.84
6,"MacBook Pro Apple 14"", M3 Max, CPU 14 Núcleos, GPU 30 Núcleos, 36GB RAM, SSD de 1TB, Preto Espacial - MRX53BZ/A",771.10
7,"MacBook Pro Apple 14"", M3 Pro, CPU 11 Núcleos, GPU 14 Núcleos, 18GB RAM, SSD 512GB, Prateado - MRX63BZ/A",5200.00
8,"MacBook Pro Apple 14"", M3 Pro, CPU 12 Núcleos, GPU 18 Núcleos, 18GB RAM, SSD 1TB, Prateado - MRX73BZ/A",2299.00
9,"MacBook Pro Apple 14"", M3 Max, CPU 14 Núcleos, GPU 30 Núcleos, 36GB RAM, SSD 1TB, Cinza - MRX83BZ/A",5999.00
10,"MacBook Pro Apple 14"", M3, CPU 8 Núcleos, GPU 10 Núcleos, 8GB RAM, SSD 1TB, Cinza-espacial - MTL83BZ/A",1990.00
11,"Monitor Gamer AsRock 27"" 165Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, HDR, FreeSync, 123% sRGB - PG27FF1A",2799.00
12,"Monitor Gamer AsRock 24.5"", 100Hz, Full HD, 1ms, IPS, DisplayPort e HDMI, FreeSync, 99% sRGB - CL25FF",5999.00
13,"Notebook ASUS VivoBook Go 15 E1504FA AMD RYZEN 5 7520U, 8GB RAM, SSD 256GB, 15,6"" LED FHD, W11 Home - E1504FA-NJ825W",3199.99
14,"Monitor Gamer ASUS TUF VG27AQL3A, 27 QHD, 180Hz, Fast IPS, 1ms, Freesync Premium, G-Sync, 130% sRGB, DisplayHDR 400 - 90LM09A0-B013X0",789.99
15,"Monitor Gamer KBM! GAMING MG250 - 25"" LED Full HD, 180Hz, 1ms, HDMI e DisplayPort, Adaptive Sync, Ajuste de Ângulo - KGMG25025PT",7849.99
16,"Notebook Lenovo LOQ Intel Core i5-12450H, 16GB RAM, GeForce RTX 2050 4GB, SSD 512GB, 15.6"" Full HD, Windows 11 Home, Cinza - 83EU0001BR",2099.99
17,"Notebook Lenovo IdeaPad 1i Intel Core i5-1235U, 8GB RAM, SSD 512GB, Tela 15.6"" HD, Windows 11, Cinza - 82VY000QBR",1199.99
18,"Monitor Gamer MSI G274F, 27"", 180Hz, Full HD, 1ms, DisplayPort e HDMI, Adaptive-Sync",1199.99
19,"Monitor Gamer AOC 23.8"" Full HD, 100Hz, 1ms, IPS, DisplayPort e HDMI, Adaptive-Sync - 24G2E1",498.00
20,"Computador NTC I3-12100, 8GB RAM, SSD 256 NVMe, Fonte 300W, Linux - Ntc 4400 As",1899.99
21,,2099.99
22,,6999.99
23,,729.99
24,,589.99
25,,8299.99
26,,749.99
27,,899.99
28,,1422.99
29,,4999.99
30,,1299.99
31,,1299.99
32,,1299.99
33,,3999.99
34,,2299.99
35,,719.99
36,,1099.99
37,,529.99
38,,1089.99
39,,1099.99
40,,2999.99
41,,1929.99
42,,869.99
43,,2779.99
44,,929.99
45,,5999.99
46,,8799.99
47,,8699.99
48,,7999.99
49,,22999.99
50,,11999.99
51,,1199.99
52,,1927.99
53,,829.99
54,,4229.99
55,,6999.99
56,,1549.99
57,,13499.99
58,,17599.99
59,,22999.99
60,,28000.00
61,,17999.99
62,,23599.99
63,,12999.99
64,,1199.99
65,,639.99
66,,2599.99
67,,1999.99
68,,799.99
69,,3999.99
70,,3049.99
71,,1079.00
72,,579.99
73,,2099.99
