Categoria,Desconto,Preço,Produto,Unnamed: 0
Coller,-30%,6.99,"Ventoinha Rise Mode, 120mm, Preto - RM-BK-01-FB",0
Coller,-31%,10.99,"Ventoinha Rise Mode, 120mm, Branco - RM-FN-01-BW",1
Coller,-37%,169.99,"Water Cooler Rise Mode Gamer Black, RGB, 240mm, AMD/Intel, Preto - RM-WCB-02-RGB",2
Coller,-19%,79.99,"Kit Com 3 Ventoinhas Rise Mode Energy, 120mm, ARGB, Preto - FN-02-RGB-5V",3
Coller,-44%,10.99,"Pasta Térmica Rise Mode Silver Frost, 5g, Cinza - RM-TG-01-FRT",4
Coller,-31%,109.99,"Kit Com 5 Ventoinhas Rise Mode Crystal Sound, 120mm, ARGB, Transparente - RM-CS-02-ARGB",5
Coller,-18%,64.99,"Air Cooler Rise Mode Gamer G800, RGB, AMD/Intel, 90mm, Preto - RM-AC-O8-RGB",6
Coller,-50%,4.99,"Ventoinha Rise Mode Black, 80mm, Preto - RM-BK-02-FB",7
Coller,-33%,39.99,"Kit com 3 Ventoinhas Rise Mode X, 120mm, Led ARGB, Preto - RM-XLD-01-ARGB",8
Coller,-30%,8.99,"Ventoinha Rise Mode, 120mm, Azul - RM-FN-01-BB",9
Coller,-39%,29.99,"Ventoinha Rise Mode Hex Turbine PWM, 120mm, ARGB, Preto - RM-H-ARGB-TOR-B",10
Coller,-38%,10.99,"Pasta Térmica Rise Mode Silver Cold, 5g, Cinza - RM-TG-01-CLD",11
Coller,-23%,229.99,"Water Cooler Rise Mode, ARGB, 240mm, AMD/Intel, Preto - RM-WCB-04-ARGB",12
Coller,-41%,28.99,Controladora Gamer Para Cooler Rise Mode PWM e ARGB Hub - RM-COPW-ARGB,13
Coller,-39%,84.99,"Kit Com 3 Ventoinhas Rise Mode, 120mm, RGB, Preto - RM-FN-02-RGB",14
Coller,-15%,10.99,"Ventoinha Rise Mode Wind W1, 120mm, LED Branco, Preto - RM-WN-01-BW",15
Coller,-14%,29.99,"Ventoinha Rise Mode Galaxy Motherboard, 120mm, ARGB, Preto - RM-MB-01-5V",16
